2024-04-04 18:10:24,592 [INFO] You choosed the auto mode!
2024-04-04 18:10:32,010 [INFO] Creating links..
2024-04-04 18:10:32,010 [INFO] ..links creation done!
2024-04-04 18:10:32,088 [INFO] 119: {'endpoints': [54, 70], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,088 [INFO] 120: {'endpoints': [70, 71], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,089 [INFO] 121: {'endpoints': [55, 71], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,089 [INFO] 122: {'endpoints': [71, 72], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,089 [INFO] 123: {'endpoints': [56, 72], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,090 [INFO] 124: {'endpoints': [72, 73], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,090 [INFO] 125: {'endpoints': [57, 73], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,091 [INFO] 126: {'endpoints': [73, 74], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,091 [INFO] 127: {'endpoints': [58, 74], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,092 [INFO] 128: {'endpoints': [74, 75], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,092 [INFO] 129: {'endpoints': [59, 75], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,092 [INFO] 130: {'endpoints': [75, 76], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,093 [INFO] 131: {'endpoints': [60, 76], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,094 [INFO] 132: {'endpoints': [76, 77], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,095 [INFO] 133: {'endpoints': [61, 77], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,096 [INFO] 134: {'endpoints': [77, 78], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,096 [INFO] 135: {'endpoints': [62, 78], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,096 [INFO] 136: {'endpoints': [78, 79], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,097 [INFO] 137: {'endpoints': [63, 79], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,097 [INFO] 138: {'endpoints': [79, 80], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,098 [INFO] 139: {'endpoints': [64, 80], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,098 [INFO] 140: {'endpoints': [65, 81], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,098 [INFO] 141: {'endpoints': [81, 82], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,099 [INFO] 142: {'endpoints': [66, 82], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,099 [INFO] 143: {'endpoints': [82, 83], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,100 [INFO] 144: {'endpoints': [67, 83], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,100 [INFO] 145: {'endpoints': [83, 84], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,101 [INFO] 146: {'endpoints': [68, 84], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,101 [INFO] 147: {'endpoints': [84, 85], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,102 [INFO] 148: {'endpoints': [69, 85], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,102 [INFO] 149: {'endpoints': [85, 86], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,102 [INFO] 150: {'endpoints': [70, 86], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,103 [INFO] 151: {'endpoints': [86, 87], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,103 [INFO] 152: {'endpoints': [71, 87], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,104 [INFO] 153: {'endpoints': [87, 88], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,104 [INFO] 154: {'endpoints': [72, 88], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,106 [INFO] 155: {'endpoints': [88, 89], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,108 [INFO] 156: {'endpoints': [73, 89], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,112 [INFO] 157: {'endpoints': [89, 90], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,113 [INFO] 158: {'endpoints': [74, 90], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,113 [INFO] 159: {'endpoints': [90, 91], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,114 [INFO] 160: {'endpoints': [75, 91], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,115 [INFO] 161: {'endpoints': [91, 92], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,115 [INFO] 162: {'endpoints': [76, 92], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,116 [INFO] 163: {'endpoints': [92, 93], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,116 [INFO] 164: {'endpoints': [77, 93], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,116 [INFO] 165: {'endpoints': [93, 94], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,116 [INFO] 166: {'endpoints': [78, 94], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,116 [INFO] 167: {'endpoints': [94, 95], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,116 [INFO] 168: {'endpoints': [79, 95], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,116 [INFO] 169: {'endpoints': [95, 96], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,122 [INFO] 170: {'endpoints': [80, 96], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,122 [INFO] 171: {'endpoints': [81, 97], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,123 [INFO] 172: {'endpoints': [97, 98], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,123 [INFO] 173: {'endpoints': [82, 98], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,124 [INFO] 174: {'endpoints': [98, 99], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,124 [INFO] 175: {'endpoints': [83, 99], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,125 [INFO] 176: {'endpoints': [99, 100], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,125 [INFO] 177: {'endpoints': [84, 100], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,126 [INFO] 178: {'endpoints': [100, 101], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,126 [INFO] 179: {'endpoints': [85, 101], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,127 [INFO] 180: {'endpoints': [101, 102], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,127 [INFO] 181: {'endpoints': [86, 102], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,128 [INFO] 182: {'endpoints': [102, 103], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,128 [INFO] 183: {'endpoints': [87, 103], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,129 [INFO] 184: {'endpoints': [103, 104], 'capacity': 10, 'trafficPerc': 0}
