2024-03-14 16:50:42,835 [INFO] Loading files..
2024-03-14 16:50:42,851 [INFO] Loading network file..
2024-03-14 16:50:42,888 [INFO] ..done!
2024-03-14 16:50:42,890 [INFO] Loading packets file..
2024-03-14 16:50:49,656 [INFO] ..done!
2024-03-14 16:50:49,656 [INFO] Analyzing files..
2024-03-14 16:50:49,656 [INFO] Simulation parameters:
2024-03-14 16:50:49,656 [INFO] {'graphType': 'graph', 'isCustom': True, 'linkCap': None, 'simTime': 4, 'startSimTime': datetime.datetime(2024, 1, 1, 0, 0)}
2024-03-14 16:50:49,694 [DEBUG] UpdateDeltaTraffic sums:
2024-03-14 16:50:49,827 [DEBUG] updateTime: 2024-01-01 00:00:03.400000, packets sum: 52500
2024-03-14 16:50:49,827 [DEBUG] updateTime: 2024-01-01 00:00:03.500000, packets sum: 52500
2024-03-14 16:50:49,828 [DEBUG] updateTime: 2024-01-01 00:00:03.600000, packets sum: 52500
2024-03-14 16:50:49,828 [DEBUG] updateTime: 2024-01-01 00:00:03.700000, packets sum: 52500
2024-03-14 16:50:49,829 [DEBUG] updateTime: 2024-01-01 00:00:03.800000, packets sum: 52500
2024-03-14 16:50:49,829 [DEBUG] updateTime: 2024-01-01 00:00:03.900000, packets sum: 52500
2024-03-14 16:50:49,830 [DEBUG] updateTime: 2024-01-01 00:00:04, packets sum: 52500
2024-03-14 16:50:49,831 [DEBUG] link: frozenset({1, 5})
2024-03-14 16:50:49,838 [DEBUG] updateTime: 2024-01-01 00:00:00.100000, packets sum: 62500
2024-03-14 16:50:49,841 [DEBUG] updateTime: 2024-01-01 00:00:00.200000, packets sum: 62500
2024-03-14 16:50:49,842 [DEBUG] updateTime: 2024-01-01 00:00:00.300000, packets sum: 62500
2024-03-14 16:50:49,843 [DEBUG] updateTime: 2024-01-01 00:00:00.400000, packets sum: 62500
2024-03-14 16:50:49,844 [DEBUG] updateTime: 2024-01-01 00:00:00.500000, packets sum: 62500
2024-03-14 16:50:49,844 [DEBUG] updateTime: 2024-01-01 00:00:00.600000, packets sum: 62500
2024-03-14 16:50:49,844 [DEBUG] updateTime: 2024-01-01 00:00:00.700000, packets sum: 62500
2024-03-14 16:50:49,844 [DEBUG] updateTime: 2024-01-01 00:00:00.800000, packets sum: 62500
2024-03-14 16:50:49,844 [DEBUG] updateTime: 2024-01-01 00:00:00.900000, packets sum: 62500
2024-03-14 16:50:49,844 [DEBUG] updateTime: 2024-01-01 00:00:01, packets sum: 62500
2024-03-14 16:50:49,844 [DEBUG] updateTime: 2024-01-01 00:00:01.100000, packets sum: 76248
2024-03-14 16:50:49,844 [DEBUG] updateTime: 2024-01-01 00:00:01.200000, packets sum: 76248
2024-03-14 16:50:49,853 [DEBUG] updateTime: 2024-01-01 00:00:01.300000, packets sum: 76248
2024-03-14 16:50:49,854 [DEBUG] updateTime: 2024-01-01 00:00:01.400000, packets sum: 76248
2024-03-14 16:50:49,854 [DEBUG] updateTime: 2024-01-01 00:00:01.500000, packets sum: 76248
2024-03-14 16:50:49,854 [DEBUG] updateTime: 2024-01-01 00:00:01.600000, packets sum: 76248
2024-03-14 16:50:49,855 [DEBUG] updateTime: 2024-01-01 00:00:01.700000, packets sum: 76248
2024-03-14 16:50:49,856 [DEBUG] updateTime: 2024-01-01 00:00:01.800000, packets sum: 76248
2024-03-14 16:50:49,858 [DEBUG] updateTime: 2024-01-01 00:00:01.900000, packets sum: 76248
2024-03-14 16:50:49,858 [DEBUG] updateTime: 2024-01-01 00:00:02, packets sum: 76248
2024-03-14 16:50:49,859 [DEBUG] updateTime: 2024-01-01 00:00:02.100000, packets sum: 26248
2024-03-14 16:50:49,860 [DEBUG] updateTime: 2024-01-01 00:00:02.200000, packets sum: 26248
2024-03-14 16:50:49,860 [DEBUG] updateTime: 2024-01-01 00:00:02.300000, packets sum: 26248
2024-03-14 16:50:49,861 [DEBUG] updateTime: 2024-01-01 00:00:02.400000, packets sum: 26248
2024-03-14 16:50:49,862 [DEBUG] updateTime: 2024-01-01 00:00:02.500000, packets sum: 26248
