2024-02-12 15:36:03,581 [INFO] The choosen switches number is 3 and the network link capacity is 10 Mbps
2024-02-12 15:36:03,582 [INFO] LinkCap in Bytes: 1250000 B
2024-02-12 15:36:03,583 [INFO] Creating links..
2024-02-12 15:36:03,583 [INFO] Links creation done!Links created are:
2024-02-12 15:36:04,540 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 41, trafficPerc: 0
2024-02-12 15:36:04,544 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 41, trafficPerc: 100
2024-02-12 15:36:04,561 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 41, trafficPerc: 70
2024-02-12 15:36:04,568 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 42, trafficPerc: 0
2024-02-12 15:36:04,569 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 42, trafficPerc: 90
2024-02-12 15:36:04,570 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 42, trafficPerc: 80
2024-02-12 15:36:04,577 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 43, trafficPerc: 0
2024-02-12 15:36:04,579 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 43, trafficPerc: 80
2024-02-12 15:36:04,580 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 43, trafficPerc: 70
2024-02-12 15:36:04,587 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 44, trafficPerc: 10
2024-02-12 15:36:04,588 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 44, trafficPerc: 70
2024-02-12 15:36:04,589 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 44, trafficPerc: 60
2024-02-12 15:36:04,595 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 45, trafficPerc: 20
2024-02-12 15:36:04,596 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 45, trafficPerc: 60
2024-02-12 15:36:04,598 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 45, trafficPerc: 70
2024-02-12 15:36:04,604 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 46, trafficPerc: 30
2024-02-12 15:36:04,607 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 46, trafficPerc: 50
2024-02-12 15:36:04,610 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 46, trafficPerc: 60
2024-02-12 15:36:04,639 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 47, trafficPerc: 40
2024-02-12 15:36:04,640 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 47, trafficPerc: 60
2024-02-12 15:36:04,642 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 47, trafficPerc: 50
2024-02-12 15:36:04,649 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 48, trafficPerc: 30
2024-02-12 15:36:04,650 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 48, trafficPerc: 70
2024-02-12 15:36:04,651 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 48, trafficPerc: 40
2024-02-12 15:36:04,659 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 49, trafficPerc: 20
2024-02-12 15:36:04,659 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 49, trafficPerc: 60
2024-02-12 15:36:04,660 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 49, trafficPerc: 50
2024-02-12 15:36:04,668 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 50, trafficPerc: 10
2024-02-12 15:36:04,670 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 50, trafficPerc: 50
2024-02-12 15:36:04,672 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 50, trafficPerc: 40
2024-02-12 15:36:04,677 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 51, trafficPerc: 0
2024-02-12 15:36:04,678 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 51, trafficPerc: 60
2024-02-12 15:36:04,679 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 51, trafficPerc: 50
2024-02-12 15:36:04,684 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 52, trafficPerc: 0
